FECHA CORTA,close,Rendimiento Simple,Rendimiento Logaritmico,,,,,,
08/02/2025,96482.44987,-0.000483,-0.000483,,,,,,
09/02/2025,96500.09479,0.000183,0.000183,,,,,,
10/02/2025,97437.55726,0.009715,0.009668,,,,,,
11/02/2025,95747.43113,-0.017346,-0.017498,,,,,,
12/02/2025,97885.86306,0.022334,0.022088,,,,,,
13/02/2025,96623.86901,-0.012893,-0.012976,,,,,,
14/02/2025,97508.9699,0.00916,0.009119,,,,,,
15/02/2025,97580.34938,0.000732,0.000732,,,,,,
16/02/2025,96175.03204,-0.014402,-0.014506,,,,,,
17/02/2025,95773.38419,-0.004176,-0.004185,,,,,,
18/02/2025,95539.5436,-0.002442,-0.002445,,,,,,
19/02/2025,96635.61321,0.011472,0.011407,,,,,,
20/02/2025,98333.93783,0.017575,0.017422,,,,,,
21/02/2025,96125.54405,-0.022458,-0.022714,,,,,,
22/02/2025,96577.76155,0.004704,0.004693,,,,,,
23/02/2025,96273.91975,-0.003146,-0.003151,,,,,,
24/02/2025,91418.17367,-0.050437,-0.051753,,,,,,
25/02/2025,88736.17344,-0.029338,-0.029777,,,,,,
26/02/2025,84347.01972,-0.049463,-0.050728,,,,,,
27/02/2025,84704.22458,0.004235,0.004226,,,,,,
28/02/2025,84373.01033,-0.00391,-0.003918,,,,,,
01/03/2025,86031.9124,0.019662,0.019471,,,,,,
02/03/2025,94248.35053,0.095505,0.091215,,,,,,
03/03/2025,86065.66833,-0.08682,-0.090823,,,,,,
04/03/2025,87222.19221,0.013438,0.013348,,,,,,
05/03/2025,90623.56184,0.038997,0.038255,,,,,,
06/03/2025,89961.72724,-0.007303,-0.00733,,,,,,
07/03/2025,86742.67562,-0.035782,-0.036438,,,,,,
08/03/2025,86154.59321,-0.00678,-0.006803,,,,,,
09/03/2025,80601.04131,-0.06446,-0.066632,,,,,,
10/03/2025,78532.00181,-0.02567,-0.026005,,,,,,
11/03/2025,82862.20818,0.055139,0.053673,,,,,,
12/03/2025,83722.36195,0.010381,0.010327,,,,,,
13/03/2025,81066.70137,-0.03172,-0.032234,,,,,,
14/03/2025,83969.09972,0.035803,0.035177,,,,,,
15/03/2025,84343.10846,0.004454,0.004444,,,,,,
16/03/2025,82579.69089,-0.020908,-0.021129,,,,,,
17/03/2025,84075.6887,0.018116,0.017954,,,,,,
18/03/2025,82718.50232,-0.016142,-0.016274,,,,,,
19/03/2025,86854.22596,0.049998,0.048788,,,,,,
20/03/2025,84167.1934,-0.030937,-0.031426,,,,,,
21/03/2025,84043.24518,-0.001473,-0.001474,,,,,,
22/03/2025,83832.48755,-0.002508,-0.002511,,,,,,
23/03/2025,86054.37186,0.026504,0.026159,,,,,,
24/03/2025,87498.91241,0.016786,0.016647,,,,,,
25/03/2025,87471.70305,-0.000311,-0.000311,,,,,,
26/03/2025,86900.88554,-0.006526,-0.006547,,,,,,
27/03/2025,87177.10211,0.003179,0.003173,,,,,,
28/03/2025,84353.15101,-0.032393,-0.03293,,,,,,
29/03/2025,82597.58434,-0.020812,-0.021032,,,,,,
30/03/2025,82334.5227,-0.003185,-0.00319,,,,,,
31/03/2025,82548.91096,0.002604,0.0026,,,,,,
01/04/2025,85169.16959,0.031742,0.031249,,,,,,
02/04/2025,82485.70837,-0.031507,-0.032014,,,,,,
03/04/2025,83102.82821,0.007482,0.007454,,,,,,
04/04/2025,83843.80487,0.008916,0.008877,,,,,,
05/04/2025,83504.80017,-0.004043,-0.004051,,,,,,
06/04/2025,78214.48082,-0.063353,-0.065449,,,,,,
07/04/2025,79235.33313,0.013052,0.012968,,,,,,
08/04/2025,76271.95017,-0.0374,-0.038117,,,,,,
09/04/2025,82573.95113,0.082625,0.079389,,,,,,
10/04/2025,79626.14144,-0.035699,-0.036352,,,,,,
11/04/2025,83404.83981,0.047456,0.046364,,,,,,
12/04/2025,85287.11328,0.022568,0.022317,,,,,,
13/04/2025,83684.97903,-0.018785,-0.018964,,,,,,
14/04/2025,84542.39128,0.010246,0.010194,,,,,,
15/04/2025,83668.98933,-0.010331,-0.010385,,,,,,
16/04/2025,84033.86542,0.004361,0.004351,,,,,,
17/04/2025,84895.75144,0.010256,0.010204,,,,,,
18/04/2025,84450.80708,-0.005241,-0.005255,,,,,,
19/04/2025,85063.41306,0.007254,0.007228,,,,,,
20/04/2025,85174.30163,0.001304,0.001303,,,,,,
21/04/2025,87518.90503,0.027527,0.027155,,,,,,
22/04/2025,93441.89335,0.067677,0.065485,,,,,,
23/04/2025,93699.11318,0.002753,0.002749,,,,,,
24/04/2025,93943.79342,0.002611,0.002608,,,,,,
25/04/2025,94720.49802,0.008268,0.008234,,,,,,
